Index,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
137841,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,CLASSROOM TEACHER,NaN,NaN,"TEACHER, MATH-HIGH",NaN,NaN,NaN,School,1,BASIC (FEFP K-12),NaN,NaN,"30,429.27",NaN,GENERAL FUND,NaN
137977,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,"Teacher, Librarian Elem",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,"2,634.17",SCHOOL LIBRARY SERVICES,NaN,INSTRUCTIONAL STAFF
138084,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,BaseSalary/Compensation,PreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,State Deaf Education,"TEACHER, SPEC.ED, PRE-K",NaN,Regular Salary,Salaries And Wages For Teachers And Other Prof...,School,0.06,Instruction,Instruction And Curriculum,TEACHER BACHELOR,"4,979.75",PRE-K,State Deaf Education,REGULAR PAY
138123,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Transportation,Transportation Department,BUS DRIVER,30.28,Undistributed,General Operating Fund,WAITING TIME
138295,Insurance,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,OtherNon-Compensation,NonPreK,PreK-12Operating,Liability Insurance,NaN,Fiscal Services,NaN,NaN,NaN,Insurance *,NaN,NaN,Other Fiscal Services,NaN,NaN,"725,941.90",NaN,General,RISK MANAGEMENT
138627,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Personal Services - Substitute Teachers Certified,NaN,NaN,NaN,NaN,IDEA Part B,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,35.11,Instruction - SPED,School Federal Projects,INDIVIDUALS WITH DISABILITIES ACT PART B
138725,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment&EquipmentLease,NO_LABEL,PreK-12Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COM...,NaN,MEDIA CENTERS,NaN,NaN,NaN,NaN,NaN,NaN,EDUCATIONAL MEDIA SERVICE,NaN,NaN,960.85,MEDIA CENTERS,General Fund,NaN
138971,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,OtherCompensation/Stipend,PreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Operations,"TEACHER, PRE-K BILINGUAL",NaN,NaN,Critical Needs Incentive,School,NaN,Instruction,All Campus Payroll,TEACHER BACHELOR,"4,167.53",PRE-K,General Operating Fund,CRITICAL NEEDS SUPPLEMENT
139095,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian Asst I,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES","2,518.59",CARE & UPKEEP OF BLDG SERVICES,NaN,OPERATION AND MAINT OF PLANT
139464,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12Operating,EMPLOYER PD MED CONTRIBUTION,NaN,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,TUITION BASED - ECE,NaN,PROFESSIONAL-INSTRUCTIONAL,251.22,EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
139602,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,(Exec) Director,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,ADMINISTRATOR,NaN,NaN,DIRECTOR OF PROF DEV & LDRSHIP,NaN,NaN,NaN,STAFF DEV AND INSTR MEDIA,1,INSTRUCTIONAL MEDIA SERVICES,NaN,NaN,"116,252.20",NaN,GENERAL FUND,NaN
139618,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Gifted,Teacher,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,GIFTED AND TALENTED,GENERAL FUND,"Teacher, Elementary",n/a,NaN,NaN,GIFTED AND TALENTED,NaN,STATE - GIFTED AND TALENTED,NaN,PROFESSIONAL-INSTRUCTIONAL,"1,804.40",GIFTED AND TALENTED,NaN,REGULAR INSTRUCTION
139652,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Teacher,n/a,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,572.58,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
139795,Substitute Compensation,Instruction,School Reported,School,Special Education,Teacher,SubstituteCompensation,NO_LABEL,PreK-12Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,Teacher,Turnaround,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,141.50,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
140214,Enrichment,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,ATHLETICS,PUPIL ACTIVITY FUND,Misc Fee Basis,n/a,NaN,NaN,ATHLETICS & STUDENT ACTIVITIES,NaN,NON-PROJECT,NaN,OFFICE/ADMINISTRATIVE SUPPORT,391.30,FEMALE ATHLETICS/SPORTS ACTIVI,NaN,COCURRICULAR ED/ACTIVITIES
140347,Substitute Compensation,Instruction,School Reported,School,At Risk,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Salaries And Wages For Substitute Professionals,NaN,State Ed. Allotment,TEACHER SUBSTITUTE POOL,NaN,NaN,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,94.53,"Title I, Part A Schoolwide Activities Related...",General Operating Fund,REGULAR PAY
141030,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Other,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,OTHER PERSONAL SERVICES,NaN,NaN,SUB CUSTODIAN,NaN,NaN,NaN,School,0,OPERATION OF PLANT,NaN,NaN,337.03,NaN,GENERAL FUND,NaN
141278,Food Services,O&M,Shared Services,Non-School,Unspecified,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,FOOD SERVICES,FOOD SERVICE FUND,District Buyer II,n/a,NaN,NaN,FOOD AND NUTRITION SERVICES,NaN,NON-PROJECT,NaN,PROFESSIONAL-OTHER,"2,040.23",FOOD PREPARATION/SERVING,NaN,FOOD SERVICES OPERATIONS
141681,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,ContractedServices,NonPreK,PreK-12Operating,Contracted Maintenance And Repair,NaN,NaN,NaN,NaN,NaN,Software Maintenance Agreements and Upgrades,Administration - No Description Provided,NaN,General Administration,Finance Department,NaN,"136,423.00",Undistributed,General Operating Fund,NaN
142177,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,GENERAL FUND,School Community Liaison,Turnaround,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,ADMINISTRATOR,181.46,SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
142951,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Other,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,FEDERAL GDPG FUND - FY,"Admin Intern, Elementary",n/a,NaN,NaN,LEADERSHIP DEVELOPMENT,NaN,URBAN PRINCIPALS LDRSHP PROG,NaN,PROFESSIONAL-OTHER,633.89,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
143832,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,"Supt, Instructional",n/a,NaN,NaN,ES TEAM,0.666678,NON-PROJECT,NaN,ADMINISTRATOR,"84,125.00",SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
143847,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Non-Position,Equipment&EquipmentLease,NO_LABEL,PreK-12Operating,PURCHASES - EQUIPMENT AND MACHINERY,INSTRUCTIONAL TECH AND SYSTEM SUPPORT,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"PURCHASED ASSETS, MINOR EQUIP & RENTAL","5,499.41",INSTRUCTIONAL PROGRAMS,LOCAL FUND,NaN
144235,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Teacher, Short Term Sub",Regular,NaN,NaN,NaN,NaN,CORE MATTERS,NaN,PROFESSIONAL-INSTRUCTIONAL,10.90,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
144251,Curriculum Development,ISPD,Shared Services,Non-School,PreK,Substitute,OtherCompensation/Stipend,PreK,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,EARLY EDUCATION,ARRA - STIMULUS,"Teacher,Retrd Shrt Term Sub",n/a,NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,ARRA HEAD START,NaN,PROFESSIONAL-INSTRUCTIONAL,123.47,EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
144941,Physical Health & Services,Pupil Services & Enrichment,Shared Services,Non-School,Special Education,Speech Therapist,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Idea Part B Formula,SPECIAL ED SPEECH THERAPIST,NaN,Extra Duty Salary,Extra Duty Wages,Summer School,NaN,"Guidance, Counseling And Evaluation Services",Instruction And Curriculum,SPEECH THERAPIST,"1,033.02",Services To Students With Disabilities (Specia...,Idea Part B Formula,EXTENDED YEAR
145117,Human Resources,Business Services,Shared Services,Non-School,Unspecified,TA,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,PERSONNEL SERVICES,LEVY OVERRIDE,General Assignment,n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,PARAPROFESSIONAL,134.83,STAFF SERVICES,NaN,CENTRAL
145900,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12Operating,IT SUPPLIES,INSTRUCTIONAL TECH AND SYSTEM SUPPORT,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SUPPLIES AND MATERIALS,"1,999.42",INSTRUCTIONAL PROGRAMS,LOCAL FUND,NaN
146138,Professional Development,ISPD,School on Central Budgets,Non-School,Special Education,Teacher,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TEACHER LEARNING & LEADERSHIP,GENERAL FUND,Teacher,n/a,NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,247.96,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
146163,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,ContractedServices,NO_LABEL,PreK-12Operating,PROFESSIONAL & TECH SVCS,NaN,NaN,NaN,NaN,NaN,NaN,GROWTH,NaN,"PLANNING,RES,DEV,& EVAL",NaN,NaN,"6,074.98",NaN,GENERAL FUND,GROWTH
146516,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,LEVY OVERRIDE,Computer Lab Technician,Regular,NaN,NaN,NaN,NaN,COMPUTERS FOR CHILDREN TECHNOL,NaN,PARAPROFESSIONAL,249.94,GENERAL MIDDLE/JUNIOR HIGH SCH,NaN,REGULAR INSTRUCTION
146642,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment&EquipmentLease,NO_LABEL,PreK-12Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COM...,NaN,HIGH SCHOOL GENERAL ED PROGRAM 9-12,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,0.22,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,NaN
146654,Instructional Materials & Supplies,Instruction,School Reported,School,Gifted,Non-Position,Supplies/Materials,NO_LABEL,PreK-12Operating,BOOKS AND PERIODICALS,NaN,GENERAL FUND,(blank),Regular,NaN,NaN,NaN,NaN,STATE - GIFTED AND TALENTED,NaN,UNDESIGNATED,131.98,GIFTED AND TALENTED,NaN,REGULAR INSTRUCTION
146907,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental *,NaN,Support Services--Pupils,NaN,NaN,NaN,Certificated Employees Salaries And Wages,NaN,NaN,Direction of Support Services - Pupils *,NaN,NaN,-931.58,NaN,Title I - Disadvantaged Children/Targeted Assi...,TITLE I SCHOOLWIDE
147055,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian Asst I,Regular,NaN,NaN,NaN,1.000042,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES","32,915.64",CARE & UPKEEP OF BLDG SERVICES,NaN,OPERATION AND MAINT OF PLANT
147085,Library & Media,Instruction,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,NaN,MEDIA CENTERS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,EDUCATIONAL MEDIA SERVICE,NaN,NaN,"1,934.90",MEDIA CENTERS,General Fund,NaN
147802,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,SUPPLIES,NaN,MIDDLE SCHOOL PROGRAM 6-8,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,918.50,MIDDLE SCHOOL Program 6-8,General Fund,NaN
147926,Insurance,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,SOFTWARE SUBSCRIPTIONS,NaN,NaN,NaN,NaN,NaN,NaN,RISK MANAGEMENT,NaN,INSTRUCTION RELATED TECHNOLOGY,NaN,NaN,"3,537.35",NaN,GENERAL FUND,COMPUTER MAINT CONTRACT
148068,Curriculum Development,ISPD,School Reported,School,Unspecified,Non-Position,Travel&Conferences,NO_LABEL,PreK-12Operating,TRAVEL AND REGISTRATION,COLLEGE READY,MILL LEVY,(blank),Regular,NaN,NaN,NaN,NaN,IMPROVE GRADUATION RATES,NaN,UNDESIGNATED,"3,385.18",AVID,NaN,REGULAR INSTRUCTION
148139,Social & Emotional,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Office Support II,n/a,NaN,NaN,PSYCHOLOGICAL SERVICES,NaN,NON-PROJECT,NaN,UNDESIGNATED,-899.40,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
149200,Parent & Community Relations,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,NO_LABEL,Equipment&EquipmentLease,NO_LABEL,PreK-12Operating,NON-CAPITALIZED COMPUTER HARDW,NaN,NaN,NaN,NaN,NaN,NaN,School,NaN,INST & CURRICULUM DEV SVCS,NaN,NaN,"1,535.57",NaN,GENERAL FUND,TEEN PARENTS SAI
149282,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,Coaching Supplement,NaN,NaN,SOFTBALL ASSISTANT C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"1,525.34",NaN,NaN,NaN
150462,Professional Development,ISPD,School Reported,School,Unspecified,Non-Position,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Regular Instruction,NaN,NaN,0,NaN,NaN,CCOACH CERT TCHRACCT,229.92,Instruction - Regular,General Purpose School,NaN
150524,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,FACILITY-EMPAC MAINT MATERIALS,MAINTENANCE,CAPITAL RESERVE FUND,(blank),Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,"1,075.75",MAINTENANCE - STRUCTURAL,NaN,OPERATION AND MAINT OF PLANT
150698,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Personal Services - Substitute Teachers Certified,NaN,NaN,NaN,NaN,Regular Instruction,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,105.64,Instruction - Regular,General Purpose School,NaN
150769,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,ELA General Assignment,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-28.97,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
150939,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,OtherNon-Compensation,NO_LABEL,PreK-12Operating,OTHER PURCHASED SERVICES,NaN,NaN,NaN,NaN,NaN,NaN,GROWTH,NaN,"PLANNING,RES,DEV,& EVAL",NaN,NaN,658.51,NaN,GENERAL FUND,GROWTH
151019,Professional Development,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,ContractedServices,NO_LABEL,PreK-12Operating,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,NaN,TITLE II-A-IMPROVING TEACHER QUALITY,NaN,NaN,NaN,NaN,PROF. LEARNING,NaN,IMPROVEMENT OF INSTR SERV,NaN,NaN,145.16,"Title II-A, Improving Teacher Quality",Title II,NaN
151387,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,SPEECH & LANGUAGE,GENERAL FUND,Occupational Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,1.000026,SPECIAL EDUCATION - ITINERANT,NaN,PROFESSIONAL-INSTRUCTIONAL,"87,912.01",SPECIAL EDUCATION-OT/PT-ATRT,NaN,SPECIAL EDUCATION
151503,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Regular,NaN,NaN,NaN,0.008621,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,219.07,GENERAL MIDDLE/JUNIOR HIGH SCH,NaN,REGULAR INSTRUCTION
151514,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Personal Services - Substitute Teachers Certified,NaN,NaN,NaN,NaN,Title I - Teachers,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,212.27,Instruction - Regular,School Federal Projects,ESEA TITLE I DISADVANTAGED
151665,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Equipment and Furniture,NaN,Building Acquisitions And Construction Services *,NaN,NaN,NaN,"Supplies And Materials For Operation, Maintena...",NaN,NaN,Building Acquisitions And Construction Services *,NaN,NaN,"1,615.83",NaN,Classroom Facilities,LOCAL SHARE
151722,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment&EquipmentLease,NO_LABEL,PreK-12Operating,NON-CAPITALIZED  EQUIP,NaN,NaN,NaN,NaN,NaN,NaN,GROWTH,NaN,"PLANNING,RES,DEV,& EVAL",NaN,NaN,556.91,NaN,GENERAL FUND,GROWTH
152013,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Teacher, Short Term Sub",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,15.32,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
152296,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,GENERAL FUND,"Teacher, Secondary (High)",Turnaround,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,"4,383.45",GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
152393,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Regular,NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,2.09,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
152638,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12Operating,CONTRA BENEFITS,NaN,GENERAL FUND,"Teacher, Elementary",n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-162.41,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
152948,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Principal,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TIF GRANT,ARRA - STIMULUS,"Principal, Elementary",n/a,NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,TEACHER INCENTIVE FUND (TIF),NaN,PROFESSIONAL-INSTRUCTIONAL,437.26,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
153008,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12Operating,EMPLOYEE BENEFITS,NaN,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,TUITION BASED - ECE,NaN,PROFESSIONAL-INSTRUCTIONAL,"5,024.06",EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
153236,Career & Academic Counseling,NO_LABEL,School Reported,School,NO_LABEL,Guidance Counselor,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,Counselor - Secondary,NaN,NaN,NaN,NaN,1,NaN,NaN,COUNSELOR,"85,261.45",MIDDLE SCHOOL Program 6-8,General Fund,NaN
153299,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Personal Services - Other Compensation,NaN,NaN,NaN,NaN,Regular Instructional Support,NaN,NaN,0,NaN,NaN,Career Ladder I/Ext Learning,"1,167.05",Support - Regular Instruction,General Purpose School,NaN
153774,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Educ Tech Specialist III,n/a,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,"1,016.28",EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
154034,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,LEGAL SERVICES,GENERAL FUND,Deputy General Counsel,n/a,NaN,NaN,SCHOOL ATTORNEY,NaN,NON-PROJECT,NaN,ADMINISTRATOR,"4,126.10",LEGAL SERVICES,NaN,GENERAL ADMINISTRATION
154360,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NonPreK,PreK-12Operating,Social Security / Medicare,NaN,Operations,NaN,NaN,Basic Educational Services - District Objective,Social Security / Medicare,Undistributed,NaN,Instruction,Campus Overtime,TEACHER MASTER,93.11,Basic Educational Services,General Operating Fund,MEDICARE EMPLOYER EXPENSE
155029,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,Psychologist,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,259.48,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
155168,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental *,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Certificated Employees Salaries And Wages,NaN,NaN,Instructional Staff Training Services *,NaN,NaN,"-15,604.68",NaN,Title,SI COMP
155656,Curriculum Development,ISPD,Shared Services,Non-School,ELL,Non-Position,Supplies/Materials,NO_LABEL,PreK-12Operating,BOOKS AND PERIODICALS,EARLY EDUCATION,ITEMGD PRESCHOOL PROGRAM,(blank),n/a,NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,ELPA - FULL-DAY KINDER,NaN,UNDESIGNATED,33.75,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
156059,Other Compensation,Instruction,School Reported,School,Special Education,Other,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,OTHER PERSONAL SERVICES,NaN,NaN,CLERICAL/TCHR ASST SUB,NaN,NaN,NaN,School,0,EXCEPTIONAL,NaN,NaN,76.69,NaN,GENERAL FUND,NaN
156125,Human Resources,Business Services,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,Human Resources Generalist,n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,PROFESSIONAL-OTHER,504.17,STAFF SERVICES,NaN,CENTRAL
